"ra_number","date_of_survey","check_out_day","check_in_day","primary_rental_purpose","vehicle_model_description","overall_satisfaction","mechanical_condition_of_vehicle","cleanliness_of_the_vehicle","vehicle_selection_choice","ease_of_pick_up","ease_of_return","would_you_recommend","recommend_comment"
"832866801",2019-07-21,2019-07-04,2019-07-09,"Leisure","SIREQUINOXFWD2N",10,10,10,10,10,10,10,"Always a great experience with Hertz. Great vehicles and and great customer service! Always someone there to help if need be and the nicest customer service on the airport drive-backs!"
"910714954",2019-07-21,2019-07-14,2019-07-19,"Leisure","SIRIMPALA5P3.6N",8,7,7,7,10,10,10,"Whole process was easy"
"910320401",2019-07-21,2019-07-13,2019-07-20,"Both Business and Leisure","SIR 300 3.6 RWN",10,10,10,10,10,10,10,"Fast pick up, clean car, good choices, car operated well"
"910790650",2019-07-21,2019-07-14,2019-07-20,"Business","SIR 300 3.6 AWN",,,,,,,,
"837756975",2019-07-21,2019-07-11,2019-07-15,"Leisure","SIREQUINOXFWD1N",9,10,10,9,10,10,10,"Quick check in"
"914011114",2019-07-21,2019-07-18,2019-07-20,"Both Business and Leisure","SIR SOUL 5D N",7,9,9,6,10,10,8,"Smooth process in Phoenix."
"913133174",2019-07-21,2019-07-17,2019-07-20,"Leisure","SIR CAMARO CV N",10,10,8,10,10,10,10,"Ease of renting and drop off, good customer service, selection of cars"
"838532435",2019-07-21,2019-07-12,2019-07-19,"Leisure","SIREQUINOXFWD1N",10,10,10,10,10,10,10,"the people were very accomodating and knowledgable"
"914204034",2019-07-21,2019-07-18,2019-07-19,"Both Business and Leisure","SIR 300 3.6 AWN",8,8,7,8,7,3,7,"Overall experience was very good. Line to exit/check out at airport parking lot was a bit of a wait but once we got to the exit booth the process was quick."
"838397276",2019-07-21,2019-07-12,2019-07-20,"Leisure","EXPLFWD 7P 3.5N",,,,,,,,
"836367066",2019-07-21,2019-07-09,2019-07-18,"Leisure","SIR PACIFICA N",,,,,,,,
"912699292",2019-07-21,2019-07-17,2019-07-20,"Both Business and Leisure","SIR FLEX FWD N",10,10,10,10,5,10,7,"i love hertz and almost always use it. I am a gold member but when my car is not in my spot.. its a problem for me. The good news is that the rep let me pick from presidents choice and I ended up with a ford flex that was wonderful"
"912312800",2019-07-21,2019-07-16,2019-07-20,"Leisure","SIR 300 3.6 AWN",8,9,9,8,9,10,8,"Friendly employees good car"
"910212671",2019-07-21,2019-07-13,2019-07-20,"Leisure","SIR PACIFICA N",,,,,,,,
"838821675",2019-07-21,2019-07-12,2019-07-20,"Leisure","SIREQUINOXFWD1N",10,10,10,10,10,10,7,"I got a flat tire and the cost of the replacement tire was passed onto me. That cost added another $69.00 to my rental. I feel road hazard should be covered."
"910199474",2019-07-21,2019-07-13,2019-07-20,"Leisure","SIR EXPLORER 3N",10,10,10,10,10,10,10,"Picking up and dropping off our rental was easy and convenient. The folks that we dealt with were very warm and friendly. The car was clean and in perfect running condition."
"910275391",2019-07-21,2019-07-13,2019-07-15,"Leisure","SIRENCOREFWDSUN",,,,,,,,
"910025535",2019-07-21,2019-07-13,2019-07-16,"Leisure","SIRRAM15004WCCN",,,,,,,,
"912989943",2019-07-21,2019-07-17,2019-07-20,"Business","SIR 300 3.6 RWN",10,10,9,10,10,10,10,"all good.."
"910622602",2019-07-21,2019-07-14,2019-07-17,"Business","WRAN 4D 4W 3.6N",,,,,,,,
"837515346",2019-07-21,2019-07-11,2019-07-16,"Leisure","SIREQUINOXFWD1N",8,10,10,8,10,10,10,"Picking up my car at the airport is as easier than getting a taxi."
"913290243",2019-07-21,2019-07-17,2019-07-20,"Business","SIREQUINOXFWD1N",6,8,9,7,9,8,2,"They charged me $30 for gas when I filled up tank just a few miles from airport. This is the 3rd time over the last year when Hertz at the PHX airport has overcharged me."
"838900893",2019-07-21,2019-07-13,2019-07-20,"Leisure","SIR PACIFICA N",10,10,10,10,10,10,10,"Easy pick up and return. Great vehicle!"
"910650252",2019-07-21,2019-07-14,2019-07-19,"Business","COROLLA N",,,,,,,,
"839063061",2019-07-21,2019-07-13,2019-07-17,"Leisure","SORENTO FWD3.3N",10,10,6,10,10,10,10,"great car, texted space number, walk right to it, good price"
"910043842",2019-07-21,2019-07-13,2019-07-20,"Leisure","SIRMALIBU 1.5 N",7,7,10,10,10,10,10,"The ease of picking up and dropping off the car is most excellent"
"912859566",2019-07-21,2019-07-17,2019-07-17,"Both Business and Leisure","SIR EXPLORER 3N",8,9,8,9,9,9,8,"It was quick to get to the car and out but the rear window wiper was gone and the console in the front console was broken and the window had a chip."
"913017545",2019-07-21,2019-07-17,2019-07-19,"Business","SIR MURANO FWDN",1,10,5,0,0,0,2,"Lack of cars and uncaring or indifferent employees towards what to do other than wait for a car to come up from return. I get it's busy - but plan accordingly - clearly staff is been shifted as you push for ereceipts vs. paper and the lack of check-in / return agents when you return the car. I don't have a preference in paper or estatements but hopefully, those people would help in the return process and cleaning of the cars for return, just better planning for the pick-up of cars. Normally this location has no issues and is spot on this time I was highly annoyed with waiting over 20 min. to get a car! I even tried to use my points but was told I had to do that ahead of time; well I wouldn't have had to use points if you had cars - so ... thanks for the wait in the heat -"
"913731361",2019-07-21,2019-07-18,2019-07-20,"Leisure","SIR 300 3.6 AWN",9,2,10,0,9,10,9,"I was upsold from my original quote and I do not believe it was correct. My reservation was for a Chev Impala. When I got the counter they said I had reserved an economy car? The then upsold me to a car for nearly twice what I had ordered. They put in the computer and when I questioned it an to review it was already done so I just let it go. Please review my original order and provide feedback. Thanks"
"839061985",2019-07-21,2019-07-13,2019-07-20,"Leisure","SIR 300 3.6 RWN",9,9,10,9,9,10,7,"The car rental was in itself fine. The agent I dealt with kept trying to up-sell me additional insurance, telling me why my insurance wouldn't cover the damages first. Tried to get me to buy pre-pay gas and upgrade the vehicle. I understand these are options but it was more of a hard sell. Finally, he never told me they were going to charge me extra for sirius satellite radio. I didn't notice it on the paperwork till later. I decided to use the satellite radio during the rental so I'm fine with the charge now, but I didn't originally want it and didn't know he was going to add it automatically to the rental."
"835504902",2019-07-21,2019-07-08,2019-07-20,"Leisure","SIR CAMARO CV2N",10,10,10,10,10,10,10,"Easy pick-up and return and great selection of cars to choose from."
"838008102",2019-07-21,2019-07-11,2019-07-15,"Leisure","SENTRA 1.8 N",,,,,,,,
"837183852",2019-07-21,2019-07-10,2019-07-20,"Both Business and Leisure","SIR 4RUNNER 4WN",10,10,10,10,0,10,10,"I am using lull my experiences with you to generalize. This trip I pick a car out of about 30 choice just to be told when I was leaving and you g through the attendants booth that this car couldn't leave because of an mechanical issue. Why was it even available to choose. It put me back 45 by the tome I complained and asked for an upgrade for my I convience"
"910754331",2019-07-21,2019-07-14,2019-07-17,"Both Business and Leisure","SENTRA 1.8 N",8,10,9,5,8,8,5,"When checking out. I didn't know since obese using a debit card at an airport location I needed two ids even though I had my flight information agent was not helpful he told me I could rent without the return flight number even though I had the itenarty"
"838028494",2019-07-21,2019-07-12,2019-07-15,"Leisure","C300 2.0 CV RWN",,,,,,,,
"910133280",2019-07-21,2019-07-13,2019-07-20,"Leisure","SIRMALIBU 1.5 N",0,2,10,10,10,10,10,"Picking up and dropping of the car was easy and quick."
"913573220",2019-07-21,2019-07-18,2019-07-21,"Leisure","SIR Q50 AWD SUN",7,9,8,0,7,9,5,"I felt as though the value for what you get is great, especially when you compare to Avis, National, etc. That said I I prepaid about a month in advance of my trip only to find that the price for the vehicle class I booked was $50 lower the day before my rental. I also did not appreciate being stuck with a car from a lower class when I paid the premium for a higher classed vehicle. This isn't to say that I didn't enjoy the car I was put in, but I would have preferred being in a car class that I paid more than a premium for."
"914054492",2019-07-21,2019-07-18,2019-07-20,"Business","GOLF 4D 1.4 N",,,,,,,,
"910625645",2019-07-21,2019-07-14,2019-07-16,"Both Business and Leisure","SIR ELANTRAFT2N",,,,,,,,
"910305244",2019-07-21,2019-07-13,2019-07-18,"Business","SIRESCALAD4X4 N",10,10,10,10,10,10,10,"Unable to provide reserved car and desk agent upgraded. Very helpful"
"838714870",2019-07-21,2019-07-12,2019-07-20,"Both Business and Leisure","SIR 300 3.6 AWN",10,10,10,10,10,10,10,"Effortless rental process. Just pick any car you want and drive away."
"912743753",2019-07-21,2019-07-17,2019-07-17,"Business","SIR 300 3.6 RWN",,,,,,,,
"910045511",2019-07-21,2019-07-13,2019-07-20,"Leisure","SIR EXPLORER 3N",9,10,9,10,10,10,10,"We love being able to choose our car from the President's Circle. That way, we can get a car or SUV that we enjoy driving."
"912894533",2019-07-21,2019-07-17,2019-07-20,"Leisure","SIR GR CRVN2W3N",1,0,0,0,5,5,3,"Very limited cars available. One available extremely dirty and dusty. Almost like someone left windows open during Arizona dust storm. I was too tired to go argue with staff for a new car..."
"838501473",2019-07-21,2019-07-12,2019-07-20,"Leisure","SIREQUINOXFWD2N",9,9,10,9,9,8,8,"Overall, great experience, but felt very rushed to get out of the car when dropping the car off. Also, receipt can be a little hard to understand at the end when adding in fuel purchase option, there must be some other taxes with that that are not clear to make up the higher total from the original payment when booking."
"913310436",2019-07-21,2019-07-17,2019-07-20,"Leisure","SIR FIESTA 4D N",8,10,9,7,6,8,1,"The extra fee for the Mileage Plus program is a COMPLETE surprise..........you can be assured I will NOT rent from Hertz again."
"837000776",2019-07-21,2019-07-10,2019-07-13,"Business","SENTRA 1.8 N",9,9,9,9,9,9,9,"Friendly staff. Easy sign up to Hertz."
"913268856",2019-07-21,2019-07-17,2019-07-20,"Leisure","SIR Q50RWDSUN3N",,,,,,,,
"912885470",2019-07-21,2019-07-17,2019-07-19,"Leisure","COROLLA N",10,10,10,10,10,10,10,"Excellent service"
"910135122",2019-07-21,2019-07-13,2019-07-19,"Leisure","ALTIMA N",7,3,9,8,9,3,5,"I was miss lead about why I should prepay gas."
"913543492",2019-07-21,2019-07-18,2019-07-20,"Business","SIR QX804WSUN N",10,10,10,10,10,10,10,"great vehicle - easy pickup and drop off"
"913965356",2019-07-21,2019-07-18,2019-07-21,"Leisure","SIR EXPLORER 3N",,,,,,,,
"912894743",2019-07-21,2019-07-17,2019-07-20,"Leisure","SIR 300 3.6 AWN",10,8,6,10,7,6,5,"The car I rented was not there so had something less it was a great but not Convertible"
"913568246",2019-07-21,2019-07-18,2019-07-20,"Business","SIR 300 3.6 RWN",10,10,10,7,10,10,10,"Courtesy, speed to leave with car"
"913295331",2019-07-21,2019-07-17,2019-07-20,"Leisure","SIR EDGE2.0AWDN",,,,,,,,
"912150120",2019-07-21,2019-07-16,2019-07-20,"Business","SIR 300 3.6 RWN",8,10,5,7,8,8,5,"Turned car in after 4 days and still charged full week"
"913318114",2019-07-21,2019-07-17,2019-07-20,"Leisure","SIREQUINOXFWD1N",6,9,10,7,10,10,9,"Very friendly, quick and easy to rent, pick up and drop off."
"838829902",2019-07-21,2019-07-12,2019-07-20,"Leisure","SIRSIENNA8P3.5N",10,10,10,10,8,10,10,"Quality convenience and price"
"915415432",2019-07-21,2019-07-20,2019-07-21,"Leisure","SIR ALTIMA U N",10,10,10,10,10,0,2,"Upon arrival in Phoenix, I went to the rental desk to inform them I would like the prepaid fuel removed as this was not selected when I made the reservation. I was told to let them know at the gate when exiting with the vehicle. The gate operator stated she could not remove the charge and that I must call hertz at the number on my agreement. I proceeded to do so immediately and was told the same by the operator, and that a manager at the location must remove the charge. I then proceeded to attempt to call the location but the number transferred to the same 1-800 number so I could never get through to speak to the manager after several attempts. Upon returning the vehicle (full), I filled the instructions which indicated that the car be returned In a separate lane if needing customer assistance. There was no one at the booth and I was advised by a hertz employee to go inside the rental center. I went in and waited in line only to be told I must go back outside to gather the mileage and the fuel tank info. By the time I returned outside the car was gone. I had to walk around the garage to locates the vehicle and a staff member to validate the mileage and fuel. The person I found argued with me about whether the vehicle I pointed out was the one I rented even though I had already verified the license plate. Eventually he acquiesced and validated the information. I then took the jacket back in and eventually was put in contact with a manger to remove the charges. The manager showed a setting on my account for prepaid fuel which I am not sure how it got there considering that my app reflect that prepaid fuel is NOT SELECTED. The change was made to the customer notes permanently.The gate operator stated she could not remove the charge that I must call the"
"838731773",2019-07-21,2019-07-12,2019-07-16,"Leisure","SIR CAMARO CV2N",8,10,8,8,0,10,7,"It took 30min to get out of thee rental center due to only 2 exit booths open. There wew not enough booth open for the number of vehicles leaving the car rental"
"833169573",2019-07-21,2019-07-05,2019-07-07,"Both Business and Leisure","SIR 300 3.6 RWN",,,,,,,,
"910281013",2019-07-21,2019-07-13,2019-07-17,"Leisure","SIRSUBUR4W7PSNN",10,10,10,10,10,10,10,"This was the 1st time I have ever rented from Hertz. I have always used enterprise but their prices where to high so I decided why not. I was amazed at the hospitality given at the airport. They treated me as if I was the most important person in the room. Checking out the vehicle was easy. The vehicle was clean, full tank of gas and ready to go. Upon returning, I simply drove up, the gentleman scanned a bar code and emailed me a receipt. Literally I dropped off the vehicle and was able to be with my family back in the airport with 15 mins"
"911643902",2019-07-21,2019-07-15,2019-07-17,"Business","EXPLFWD 7P 3.5N",,,,,,,,
"913980126",2019-07-21,2019-07-18,2019-07-20,"Leisure","MAZDA 3 SKY 2.N",10,10,10,10,10,10,10,"Love the efficient way to get cars. Always excellent selection. So easy!"
"911082631",2019-07-21,2019-07-15,2019-07-18,"Business","SIR CRUZE 4D FN",,,,,,,,
"834572303",2019-07-21,2019-07-07,2019-07-20,"Leisure","SIR QX60 AWD SN",10,10,10,8,10,10,10,"Easy hassle free rental."
"912846465",2019-07-21,2019-07-17,2019-07-17,"Business","EXPLFWD 7P 3.5N",,,,,,,,
"912585052",2019-07-21,2019-07-16,2019-07-18,"Leisure","SIRSPORTAGEFW2N",10,10,10,10,10,10,10,"Car was great. Check in was easy peasy"
"910108205",2019-07-21,2019-07-13,2019-07-20,"Leisure","SIREQUINOXAWD1N",9,10,10,9,8,10,8,"Easy to pick up car. I liked picking out my own vehicle."
"912178536",2019-07-20,2019-07-16,2019-07-19,"Leisure","SIR CHGR 3.6SNN",,,,,,,,
"833729761",2019-07-20,2019-07-05,2019-07-15,"Leisure","SIR 300 3.6 AWN",8,8,2,0,0,10,8,"There"
"913109024",2019-07-20,2019-07-17,2019-07-19,"Business","CRUZE 4D FT N",,,,,,,,
"595995761",2019-07-20,2019-05-27,2019-07-10,"Business","SIR RIO 4D N",7,10,10,10,10,10,8,"Fast service check in and check out, good selection of vehicles. But I had to extend my reservation and tried calling the location multiple times but no answer."
"910318861",2019-07-20,2019-07-13,2019-07-16,"Leisure","SIR TAHOE4W7PSN",8,8,3,8,2,3,0,"The quote that I was given when I rented the car through my Delta airlines account was way off from actual cost. I feel as though i was scammed. And then when I okayed the insurance at the price quoted by the person working the Hertz counter, that too was much more expensive than I was quoted. The counter person said 'Oh, that price was for a compact car and is just an estimate. When I returned the car, the person checking the car in could hardly speak English, thus I was unable to talk to him about the extra charges.i rent cars frequently, but will never rent from Hertz again because Hertz is so dishonest about their pricing."
"911531585",2019-07-20,2019-07-15,2019-07-19,"Business","SIREQUINOXFWD1N",8,9,9,8,1,9,6,"the drop off was great - fast courteous and efficient BUT. the pick up not smooth rude ladies, no one on floor when my car type was not there then had to go back inside not very friendly or helpful. very frustrating when i went to gate to check out told them and they knew that crew of ladies was bad"
"838540500",2019-07-20,2019-07-12,2019-07-16,"Leisure","SIR ENCOREAWDSN",7,9,10,10,10,10,10,"No counter check in Pick any car"
"911296433",2019-07-20,2019-07-15,2019-07-17,"Leisure","SIR PACIFICA N",,,,,,,,
"912900181",2019-07-20,2019-07-17,2019-07-19,"Business","SIRIMPALA5P3.6N",9,10,10,8,10,10,9,"i like skipping counter. good selection of cars. easy return"
"911213144",2019-07-20,2019-07-15,2019-07-16,"Business","SIR SOUL 5D N",7,10,10,8,9,10,8,"Convenient and enough cars"
"914215551",2019-07-20,2019-07-18,2019-07-19,"Business","SIR CRUZE 4D FN",5,10,7,1,10,10,8,"Strong smell of cover scent or interior cleaner."
"910199360",2019-07-20,2019-07-13,2019-07-19,"Leisure","SIR XE SUN AWDN",10,10,10,8,6,10,10,"Let's us return the car off airport property"
"910918256",2019-07-20,2019-07-15,2019-07-19,"Business","SIR CAMARO CV2N",9,9,9,9,8,4,5,"Very poor return experience"
"913686885",2019-07-20,2019-07-18,2019-07-19,"Business","SIREQUINOXFWD2N",8,9,9,9,1,9,2,"Got to lot, presidents circle, drive off and was told the car had a service hold, come back and there are zero cars available y. Only car was an upgrade that I had to pay"
"910800520",2019-07-20,2019-07-14,2019-07-19,"Business","SIRMUST CV 2.3N",6,10,1,0,0,9,0,"If this was my for rental I would never rent from Hertz again. 1) you easy pick up. The last several rentals I have not received the sms/email telling me where my car should be. 2) last time I was 2 minutes 'early'"
"838116720",2019-07-20,2019-07-12,2019-07-19,"Both Business and Leisure","SIR ALTIMA N",10,10,10,10,8,10,10,"I like the choose your vehicle feature, the price for the rental (since I booked early) was a great price, and I liked the vehicle options I had. For the most part, everyone I interacted with was friendly."
"911440390",2019-07-20,2019-07-15,2019-07-19,"Business","CX3 FWD N",,,,,,,,
"910281595",2019-07-20,2019-07-13,2019-07-19,"Business","SIR 300 3.6 AWN",8,8,4,8,8,9,8,"The rental process was very simple. Signage to the Hertz floor could be clearer."
"913805045",2019-07-20,2019-07-18,2019-07-19,"Business","SIRSPORTAGEFW2N",10,10,10,10,10,10,10,"I was greeted immediately and directed to where to go. Very grateful. When I returned car the checkout took less than a minute. Everyone very professional and friendly!!"
"911185903",2019-07-20,2019-07-15,2019-07-19,"Business","COROLLA N",,,,,,,,
"913880741",2019-07-20,2019-07-18,2019-07-19,"Business","VELOSTER 2.0 N",10,9,10,9,10,10,10,"Attentive team willing to help me. Specifically the young woman who helped with my reservation"
"910531565",2019-07-20,2019-07-14,2019-07-18,"Business","SIRACADIA3.6FWN",10,10,10,10,10,10,10,"The car was clean and very much user friendly. It had the features I look for and was reliable."
"837767011",2019-07-20,2019-07-11,2019-07-16,"Leisure","SIR RAM1500 2WN",,,,,,,,
"910110530",2019-07-20,2019-07-13,2019-07-19,"Leisure","SIR ROGUE FWD N",9,9,9,9,10,10,10,"Fair competitive pricing. Easy and quick access to assortment of comfortable vehicles. Easy exit of rental facility with minimal paperwork.."
"913944614",2019-07-20,2019-07-18,2019-07-19,"Business","SIREQUINOXFWD1N",,,,,,,,
"912844844",2019-07-20,2019-07-17,2019-07-19,"Business","SIR ROGUESPORTN",8,10,8,9,9,9,9,"Overall satisfaction"
"911486601",2019-07-20,2019-07-15,2019-07-19,"Business","SIR ELANTRAFT2N",10,10,10,10,10,10,10,"very easy to rent a car from start to finish"
"832341053",2019-07-20,2019-07-03,2019-07-17,"Leisure","SIR CRUZE 4D FN",7,10,8,8,10,10,8,"My rental was ready for me and both the pick up and drop off process went quickly"
"912970354",2019-07-20,2019-07-17,2019-07-20,"Business","SENTRA 1.8 N",1,6,6,0,0,7,0,"I am a Gold Member, and rent very regularly from Hertz. The PHX location is the worst I even had to deal with. This time, my reservation was canceled while I was standing there trying to find a car. I had to go back up to the main desk and re-reserve a car. The car I was assigned was not in the 'bay' I was told to go to. After wandering around aimlessly trying to find help, a van driver finally pointed me in the right direction. Once I found where to find a car (gold), there were only about 5 to select from, 3 of which were trucks and totally unacceptable. The other one was already taken. This experience had made me continue to question why I still use Hertz. My company also has a discount with 2 other companies. I believe I will try them in the future. Hertz at PHX is just unacceptable."
"912149991",2019-07-20,2019-07-16,2019-07-19,"Business","SIRRAM15004WCCN",2,8,8,0,1,10,3,"There aren't enough cars in the gold section. Every time I rent with you, there are only dodge vans or dodge pickup trucks. That is terrible. My colleagues who rent with national or enterprise don't have that experience with no loyalty accounts. I'm not sure what your gold status means. This is my first year using you because our company suggested."
"836953946",2019-07-20,2019-07-10,2019-07-19,"Leisure","SIR 4RUNNER 4WN",10,10,10,10,10,10,10,"Good rental experience"
"913846662",2019-07-20,2019-07-18,2019-07-19,"Business","SIR MAXIMA N",9,9,9,9,10,9,9,"professional associates"
"911644580",2019-07-20,2019-07-15,2019-07-19,"Both Business and Leisure","SIR TERRAINAW1N",8,8,8,6,8,9,9,"Car was ready and easy to pickup and return"
"914185635",2019-07-20,2019-07-18,2019-07-19,"Business","SIR CAMARO 2.0N",,,,,,,,
"838245973",2019-07-20,2019-07-12,2019-07-19,"Leisure","SIRMUST CV 2.3N",,,,,,,,
"837971875",2019-07-20,2019-07-11,2019-07-16,"Leisure","SIR ROGUE AWD N",5,5,5,7,8,8,7,"paid for Sirius Radio and it did not work properly - I reported it but was not compensated"
"913170974",2019-07-20,2019-07-17,2019-07-20,"Business","SIRFUSION HYB2N",10,10,10,10,10,0,0,"I have just reviewed my inline bill. It is charging me $300 for damage to vehicle. If there was ANY damage why wouldn't your return attendant mention it? Frankly I will just be instructing my office to issue a change dispute as soon as it appears on my AMEX. Hertz can pay the charge back fee for my inconvience . Back to Budget for me... what a scam!"
"837946130",2019-07-20,2019-07-11,2019-07-16,"Leisure","SIR 300 3.6 AWN",,,,,,,,
"912052794",2019-07-20,2019-07-16,2019-07-19,"Business","SIRNAUTILUSAWDN",6,9,5,7,8,8,7,"Process was very smooth. Nice car options in presidents circle. Car washer fluid was empty and the inside windshield was really smudged."
"819348025",2019-07-20,2019-06-28,2019-07-07,"Leisure","SIR CHARGER 3.N",10,10,10,9,8,10,10,"people were nice to me. Cars were clean. It's a pain to get to the center though."
"914193921",2019-07-20,2019-07-18,2019-07-19,"Business","SIR TRAX FWD N",7,10,10,3,9,10,5,"Almost no cars left in Gold section to choose from in the evening. Also checkout at get takes longer than it used to."
"911207135",2019-07-20,2019-07-15,2019-07-19,"Business","SIRMALIBU 1.5 N",3,1,9,3,8,9,8,"Ease of getting and choosing my rental with Gold membership. Competitive pricing."
"913379375",2019-07-20,2019-07-17,2019-07-19,"Business","SIR CAMARO CV2N",10,10,10,10,10,10,10,"service was great at pick up and drop off, car was in great condition"
"912907855",2019-07-20,2019-07-17,2019-07-18,"Business","SIR QX804WSUN N",,,,,,,,
"911353656",2019-07-20,2019-07-15,2019-07-19,"Business","VERSA 1.6 N",5,4,10,5,0,10,10,"At a recent stay the Hertz person at the Marriott residence inn Tempe downtown one of your support people went above and beyond to help me."
"912103570",2019-07-20,2019-07-16,2019-07-19,"Business","SIR DURANGO RWN",0,0,9,0,10,0,5,"When my first car had problems, I had to wait 15 minutes on hold, then ride back to hears with tow truck, then walk a half mile from the road. I understand that the car breaking down was not the fault of Hertz, but the service after, was you fault."
"815296204",2019-07-20,2019-06-24,2019-07-19,"Business","SIR CHARGER 3.N",,,,,,,,
"910725395",2019-07-20,2019-07-14,2019-07-19,"Business","SIR MAXIMA N",,,,,,,,
"834787155",2019-07-20,2019-07-07,2019-07-19,"Both Business and Leisure","SIREQUINOXFWD2N",,,,,,,,
"837676022",2019-07-20,2019-07-11,2019-07-17,"Business","SIR MURA AWD N",5,5,0,0,2,9,5,"Few cars at the gold area, chosen car was not clean!"
"910543804",2019-07-20,2019-07-14,2019-07-19,"Business","SIR CHARGER 3.N",10,10,10,10,10,10,10,"Selection at PHX airport was good. Got a dodge charger II in gold zone in PHX. Service was quick and easy for gold plus reward"
"834578640",2019-07-20,2019-07-07,2019-07-13,"Leisure","SIR TAHOE4W7PSN",10,10,10,10,10,10,10,"The customer service was great"
"837782466",2019-07-20,2019-07-11,2019-07-19,"Business","SIREQUINOXAWD1N",10,10,10,10,10,10,10,"Quick and efficient"
"910498702",2019-07-19,2019-07-15,2019-07-18,"Business","SIREQUINOXFWD2N",,,,,,,,
"819874554",2019-07-19,2019-06-29,2019-07-13,"Leisure","SIRMALIBU 1.5 N",,,,,,,,
"838590465",2019-07-19,2019-07-12,2019-07-17,"Leisure","SIR MURANO FWDN",8,7,8,8,8,9,8,"Easy to get vehicle as I could chose from a group of cars. Some cars were in better shape than others so..."
"910300296",2019-07-19,2019-07-14,2019-07-18,"Business","SIR XTS FWD N",,,,,,,,
"912593205",2019-07-19,2019-07-16,2019-07-18,"Business","SIR 300 3.6 AWN",9,9,10,7,10,10,9,"Everything was easy and quick."
"911845605",2019-07-19,2019-07-15,2019-07-18,"Business","SENTRA 1.8 N",1,8,9,0,0,9,6,"Service and price are reasonable, the car choice at 5 star, Gold and even formerly in Presidents Circle (I am currently not a qualified PC member) is terrible. My options were a minivan or a Nissan Sentra. National car renta has far superior car choices at every level and in every case gives me a better experience because of better cars. Hertz seems very very cheap in how you treat your loyal renters if my company did not force me to use Hertz I would always choose National"
"913028071",2019-07-19,2019-07-17,2019-07-18,"Business","SORENTO 4W7P6CN",,,,,,,,
"838291926",2019-07-19,2019-07-12,2019-07-15,"Leisure","SIR XTS FWD N",,,,,,,,
"913270341",2019-07-19,2019-07-17,2019-07-18,"Business","SIREQUINOXFWD2N",8,10,9,7,8,8,1,"Horrible customer service experience on this rental. Express check out and didn't realize till I got to my hotel that you billed me in error for damage coverage (corporate rental / policy covers). Called, was transferred 5 times and talked to 6 different people - nobody helped/removed.....said 'they couldn't' and I needed to talk to the manager. Called the local rental office, no answer - got to the call center, they tried to transfer back. Told me they'd notate file and I could have it addressed when I dropped off car. Agent at drop off couldn't help, said I needed a manager - none available."
"913387031",2019-07-19,2019-07-17,2019-07-19,"Business","SIR MURA AWD N",5,7,4,1,1,0,2,"913387031 Rental agreement Purchased drive back service. No attendant there at all. Please remove it from my bill"
"838418372",2019-07-19,2019-07-12,2019-07-15,"Leisure","SIRPATHF3.5 7PN",10,10,10,10,10,10,10,"Great cars and service"
"837679846",2019-07-19,2019-07-11,2019-07-18,"Leisure","SORENTO FWD3.3N",8,7,9,4,9,10,8,"I wasn't impressed with your staff. Different people gave me different answers as to my rental. I specifically requested SiriusXM radio and was told I would get a Nissan Pathfinder. Instead, I was given a Kia with no SXM radio. The response from your team was, 'oh well...sorry'. That's pretty weak. And I am a Hertz Gold Member...and deserve better."
"836871755",2019-07-19,2019-07-10,2019-07-15,"Both Business and Leisure","VELOSTER 2.0 N",,,,,,,,
"911534901",2019-07-19,2019-07-15,2019-07-18,"Business","SIR300AWDSUN N",0,6,0,6,8,8,3,"My rental car on the inside was filthy. I didnt even want to touch anything and I was stuck with it for 4 days."
"910833722",2019-07-19,2019-07-14,2019-07-18,"Business","SIR CAMARO CV2N",,,,,,,,
"910295724",2019-07-19,2019-07-13,2019-07-17,"Both Business and Leisure","EXPRESS12PREG4N",,,,,,,,
"837702014",2019-07-19,2019-07-11,2019-07-18,"Leisure","SIREQUINOXFWD2N",10,10,10,10,9,10,8,"Fast service to correct my rental problem."
"836122420",2019-07-19,2019-07-09,2019-07-15,"Leisure","SIR 4RUNNER 4WN",10,9,10,10,10,10,10,"The representatives were very helpful and answered all of our questions and concerns. We wanted to know how much a change of vehicle class would be and they checked and tried to give us the best price."
"837627685",2019-07-19,2019-07-11,2019-07-15,"Leisure","SIREQUINOXAWD1N",10,10,10,10,10,10,10,"Great care. Easy access, accommodating staff"
"912793501",2019-07-19,2019-07-17,2019-07-18,"Business","SIR TERRAINFW1N",,,,,,,,
"910735851",2019-07-19,2019-07-14,2019-07-18,"Both Business and Leisure","SIR CRUZE 4D FN",5,7,7,1,3,3,4,"Lack of variety of cars in the 5 star plus aisle"
"833471236",2019-07-19,2019-07-05,2019-07-15,"Business","SIR CAMARO CV2N",,,,,,,,
"833512971",2019-07-19,2019-07-05,2019-07-18,"Leisure","SIREQUINOXFWD2N",,,,,,,,
"912042773",2019-07-19,2019-07-16,2019-07-18,"Business","SIR FIESTA 5D N",,,,,,,,
"833593902",2019-07-19,2019-07-05,2019-07-17,"Other","COROLLA N",3,5,7,1,1,10,4,"Had a confirmed reservation for a full size car. When I got to the airport, there were no cars of any size available. After waiting around for 45 minutes was finally given a compact. There were many other customers there at the same time also with confirmed reservations who were treated similarly. This was on July 5th at Phoenix sky harbor."
